id,desktop_inventory_element,element,location,model,desktop_inventory,serial,quantity,millicom_code,is_asset,element_type_asset,element_category_asset,comments,desktop_inventory_process_result_detail,check_field_service_login,check_field_service_date,check_inventory_responsible_login,check_inventory_responsible_date,internal_location_id,missing_element_created_for_partial_diff
150803,1799572,112424,WAR05ALP,1000090,15706,PAP/R7050423,1,,N,21,53,,2089703,DM80160637,"2013-10-08 16:14:02",FB52161950,"2013-09-16 16:18:52",6898,0
150804,1799573,112426,WAR05ALP,1000089,15706,PAP/R7050422,1,,N,21,53,,2089704,DM80160637,"2013-10-08 16:14:02",FB52161950,"2013-09-16 16:18:52",6898,0
151739,1805806,351442,WAR06ALP,1000573,15749,18442,1,A06G126281,Y,710,7,,2096583,DM80160637,"2013-10-08 11:25:10",FB52161950,"2013-09-30 11:36:14",7106,0
151740,1805805,351441,WAR06ALP,1000633,15749,38828,1,A06G126285,Y,225,7,,2096584,DM80160637,"2013-10-08 11:25:10",FB52161950,"2013-09-30 11:36:14",7106,0
151741,1805804,351440,WAR06ALP,1000633,15749,38827,1,A06G126284,Y,225,7,,2096585,DM80160637,"2013-10-08 11:25:10",FB52161950,"2013-09-30 11:36:14",7106,0
151743,1805802,284390,WAR06ALP,1000016,15749,A06G170761,1,A06G170761,Y,225,7,,2096587,DM80160637,"2013-10-08 11:25:10",FB52161950,"2013-09-30 11:36:14",7106,0
151744,1805801,261296,WAR06ALP,1000538,15749,A06G135926,1,A06G135926,Y,225,7,,2096588,DM80160637,"2013-10-08 11:25:11",FB52161950,"2013-09-30 11:36:14",7106,0
151745,1805800,261295,WAR06ALP,1000538,15749,A06G168592,1,A06G168592,Y,225,7,,2096589,DM80160637,"2013-10-08 11:25:11",FB52161950,"2013-09-30 11:36:14",7106,0
151746,1805799,261166,WAR06ALP,1000011,15749,A06G170750,1,A06G170750,Y,225,7,,2096590,DM80160637,"2013-10-08 11:25:11",FB52161950,"2013-09-30 11:36:14",7106,0
151748,1805797,261164,WAR06ALP,1000573,15749,A06G135899,1,A06G135899,Y,710,7,,2096592,DM80160637,"2013-10-08 11:25:11",FB52161950,"2013-09-30 11:36:14",7106,0
151750,1805795,253905,WAR06ALP,1000017,15749,A06G136147,1,A06G136147,Y,225,7,,2096594,DM80160637,"2013-10-08 11:25:11",FB52161950,"2013-09-30 11:36:14",7106,0
151760,1805785,225462,WAR06ALP,1002327,15749,A06G170874,1,A06G170874,Y,20,7,,2096604,DM80160637,"2013-10-08 11:25:12",FB52161950,"2013-09-30 11:36:14",6865,0
151761,1805784,224987,WAR06ALP,1000012,15749,A06G136125,1,A06G136125,Y,225,7,,2096605,DM80160637,"2013-10-08 11:25:12",FB52161950,"2013-09-30 11:36:14",7106,0
151763,1805782,224985,WAR06ALP,1000573,15749,A06G136131,1,A06G136131,Y,710,7,,2096607,DM80160637,"2013-10-08 11:25:12",FB52161950,"2013-09-30 11:36:14",7106,0
151764,1805781,223753,WAR06ALP,1003800,15749,A06G119985,1,A06G119985,Y,20,7,,2096608,DM80160637,"2013-10-08 11:25:13",FB52161950,"2013-09-30 11:36:14",6865,0
151765,1805780,198401,WAR06ALP,1000017,15749,A06G136113,1,A06G136113,Y,225,7,,2096609,DM80160637,"2013-10-08 11:25:13",FB52161950,"2013-09-30 11:36:14",7106,0
151766,1805779,198400,WAR06ALP,1000017,15749,A06G136112,1,A06G136112,Y,225,7,,2096610,DM80160637,"2013-10-08 11:25:13",FB52161950,"2013-09-30 11:36:14",7106,0
151769,1805776,194218,WAR06ALP,1000573,15749,A06G171236,1,A06G171236,Y,710,7,,2096613,DM80160637,"2013-10-08 11:25:13",FB52161950,"2013-09-30 11:36:14",7106,0
