id,desktop_inventory,desktop_inventory_element,desktop_inventory_element_result,process_result_state,process_result_type,detail,complete_description,commentaries,desktop_inventory_partial_inventory
1424003,11359,1226962,1191680,OK,OK,NULL,NULL,"Element OK.",94
1424004,11359,1226931,1191681,OK,OK,NULL,NULL,"Element OK.",94
1424005,11359,1226932,1191682,OK,OK,NULL,NULL,"Element OK.",94
1424006,11359,1226974,1191683,OK,OK,NULL,NULL,"Element OK.",95
1424007,11359,1226975,1191684,OK,OK,NULL,NULL,"Element OK.",95
1424008,11359,1226976,1191685,OK,OK,NULL,NULL,"Element OK.",95
1424009,11359,1226973,1191686,OK,OK,NULL,NULL,"Element OK.",95
1424010,11359,1226972,1191687,OK,OK,NULL,NULL,"Element OK.",95
1424011,11359,1226971,1191688,OK,OK,NULL,NULL,"Element OK.",95
1424012,11359,1226845,1191689,OK,OK,NULL,NULL,"Element OK.",92
1424013,11359,1226844,1191690,OK,OK,NULL,NULL,"Element OK.",92
1424014,11359,1226846,1191691,OK,OK,NULL,NULL,"Element OK.",92
1424015,11359,1226843,1191692,OK,OK,NULL,NULL,"Element OK.",92
1424016,11359,1226782,1191693,OK,OK,NULL,NULL,"Element OK.",92
1424017,11359,1226748,1191694,OK,OK,NULL,NULL,"Element OK.",92
1424018,11359,1226907,1191695,OK,OK,NULL,NULL,"Element OK.",92
1424019,11359,1226910,1191696,OK,OK,NULL,NULL,"Element OK.",92
1424020,11359,1226909,1191697,OK,OK,NULL,NULL,"Element OK.",92
1424021,11359,1226842,1191698,OK,OK,NULL,NULL,"Element OK.",92
1424022,11359,1226749,1191699,OK,OK,NULL,NULL,"Element OK.",92
1424023,11359,1226847,1191700,OK,OK,NULL,NULL,"Element OK.",92
1424024,11359,1226905,1191701,OK,OK,NULL,NULL,"Element OK.",92
1424025,11359,1226894,1191702,OK,OK,NULL,NULL,"Element OK.",92
1424026,11359,1226895,1191703,OK,OK,NULL,NULL,"Element OK.",92
1424027,11359,1226897,1191704,OK,OK,NULL,NULL,"Element OK.",92
1424028,11359,1226896,1191705,OK,OK,NULL,NULL,"Element OK.",92
1424029,11359,1226786,1191706,OK,OK,NULL,NULL,"Element OK.",92
1424030,11359,1226785,1191707,OK,OK,NULL,NULL,"Element OK.",92
1424031,11359,1226784,1191708,OK,OK,NULL,NULL,"Element OK.",92
1424032,11359,1226783,1191709,OK,OK,NULL,NULL,"Element OK.",92
1424033,11359,1226833,1191710,OK,OK,NULL,NULL,"Element OK.",92
1424034,11359,1226834,1191711,OK,OK,NULL,NULL,"Element OK.",92
1424035,11359,1226835,1191712,OK,OK,NULL,NULL,"Element OK.",92
1424036,11359,1226836,1191713,OK,OK,NULL,NULL,"Element OK.",92
1424037,11359,1226752,1191714,OK,OK,NULL,NULL,"Element OK.",92
1424038,11359,1226753,1191715,OK,OK,NULL,NULL,"Element OK.",92
1424039,11359,1226754,1191716,OK,OK,NULL,NULL,"Element OK.",92
1424040,11359,1226750,1191717,OK,OK,NULL,NULL,"Element OK.",92
