id,desktop_inventory,desktop_inventory_element,desktop_inventory_element_result,process_result_state,process_result_type,detail,complete_description,commentaries,desktop_inventory_partial_inventory
233399,2210,294357,225907,PENDING,DIFFERENCE,"Element with difference: millicom_code, element_type_asset, element_category_asset","[millicom_code: Elem = C06G100860 - Res = C01G106792], [element_type_asset: Elem = 22 - Res = 101], [element_category_asset: Elem = 14 - Res = 6]",NULL,NULL
233400,2210,294358,225904,PENDING,DIFFERENCE,"Element with difference: millicom_code, is_asset, element_category_asset","[millicom_code: Elem = null - Res = C01G106789], [is_asset: Elem = N - Res = Y], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233401,2210,294359,225902,PENDING,DIFFERENCE,"Element with difference: millicom_code","[millicom_code: Elem = C01G100475 - Res = C01G106787]",NULL,NULL
233402,2210,294360,225903,PENDING,DIFFERENCE,"Element with difference: millicom_code","[millicom_code: Elem = C01G100457 - Res = C01G106788]",NULL,NULL
233403,2210,294361,225900,PENDING,DIFFERENCE,"Element with difference: millicom_code","[millicom_code: Elem = C01G100456 - Res = C01G106785]",NULL,NULL
233404,2210,294362,225899,PENDING,DIFFERENCE,"Element with difference: millicom_code","[millicom_code: Elem = C01G100472 - Res = C01G106784]",NULL,NULL
233405,2210,294363,225898,PENDING,DIFFERENCE,"Element with difference: millicom_code","[millicom_code: Elem = C01G100470 - Res = C01G106783]",NULL,NULL
233406,2210,294364,225896,PENDING,DIFFERENCE,"Element with difference: model, millicom_code, element_type_asset","[model: Elem = 1003061 - Res = 1003060], [millicom_code: Elem = C01G100497 - Res = C01G106782], [element_type_asset: Elem = 19 - Res = 22]",NULL,NULL
233407,2210,294365,225895,PENDING,DIFFERENCE,"Element with difference: millicom_code","[millicom_code: Elem = C01G100492 - Res = C01G106781]",NULL,NULL
233408,2210,294366,225894,PENDING,DIFFERENCE,"Element with difference: millicom_code","[millicom_code: Elem = C01G100491 - Res = C01G106780]",NULL,NULL
233409,2210,294367,225893,PENDING,DIFFERENCE,"Element with difference: millicom_code","[millicom_code: Elem = C01G100490 - Res = C01G106779]",NULL,NULL
233410,2210,294368,225891,PENDING,DIFFERENCE,"Element with difference: millicom_code, element_type_asset","[millicom_code: Elem = C01G100484 - Res = C01G106776], [element_type_asset: Elem = 22 - Res = 18]",NULL,NULL
233411,2210,294369,225890,PENDING,DIFFERENCE,"Element with difference: millicom_code, element_type_asset","[millicom_code: Elem = C01G100483 - Res = C01G106775], [element_type_asset: Elem = 22 - Res = 18]",NULL,NULL
233412,2210,294370,225889,PENDING,DIFFERENCE,"Element with difference: serial, millicom_code","[serial: Elem = C01G064259 - Res = C01G106774], [millicom_code: Elem = C01G100481 - Res = C01G106774]",NULL,NULL
233413,2210,294371,225888,PENDING,DIFFERENCE,"Element with difference: millicom_code","[millicom_code: Elem = C01G100496 - Res = C01G106773]",NULL,NULL
233414,2210,294372,225886,PENDING,DIFFERENCE,"Element with difference: millicom_code","[millicom_code: Elem = C01G100494 - Res = C01G106771]",NULL,NULL
233415,2210,294373,225887,PENDING,DIFFERENCE,"Element with difference: millicom_code","[millicom_code: Elem = C01G100495 - Res = C01G106772]",NULL,NULL
233416,2210,294374,225885,PENDING,DIFFERENCE,"Element with difference: millicom_code","[millicom_code: Elem = C01G100493 - Res = C01G106770]",NULL,NULL
233417,2210,294375,225883,PENDING,DIFFERENCE,"Element with difference: millicom_code, element_type_asset","[millicom_code: Elem = C01G100485 - Res = C01G106768], [element_type_asset: Elem = 22 - Res = 18]",NULL,NULL
233418,2210,294376,225884,PENDING,DIFFERENCE,"Element with difference: millicom_code, element_type_asset","[millicom_code: Elem = C01G100486 - Res = C01G106769], [element_type_asset: Elem = 22 - Res = 18]",NULL,NULL
233419,2210,294377,225881,PENDING,DIFFERENCE,"Element with difference: serial, millicom_code","[serial: Elem = C01G064257 - Res = C01G106766], [millicom_code: Elem = C01G100478 - Res = C01G106766]",NULL,NULL
233420,2210,294378,225882,PENDING,DIFFERENCE,"Element with difference: serial, millicom_code","[serial: Elem = C01G064278 - Res = C01G106767], [millicom_code: Elem = C01G100482 - Res = C01G106767]",NULL,NULL
233421,2210,294379,225880,PENDING,DIFFERENCE,"Element with difference: millicom_code","[millicom_code: Elem = C01G100480 - Res = C01G106764]",NULL,NULL
233422,2210,294380,225879,PENDING,DIFFERENCE,"Element with difference: millicom_code","[millicom_code: Elem = C01G100473 - Res = C01G106763]",NULL,NULL
233423,2210,294381,225877,PENDING,DIFFERENCE,"Element with difference: millicom_code","[millicom_code: Elem = C01G100474 - Res = C01G106761]",NULL,NULL
233424,2210,294382,225875,PENDING,DIFFERENCE,"Element with difference: millicom_code","[millicom_code: Elem = C01G100471 - Res = C01G106759]",NULL,NULL
233425,2210,294383,225876,PENDING,DIFFERENCE,"Element with difference: millicom_code","[millicom_code: Elem = C01G100455 - Res = C01G106760]",NULL,NULL
233426,2210,294384,225874,PENDING,DIFFERENCE,"Element with difference: millicom_code","[millicom_code: Elem = C01G100469 - Res = C01G106758  ]",NULL,NULL
